primary_procedure_id,coa_requirement_keys
CARDIOVASCULAR_001,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_002,"[""coa.case.anatomic.intrathoracic_heart_open_no_cpb""]"
CARDIOVASCULAR_003,"[""coa.case.anatomic.intrathoracic_heart_open_no_cpb""]"
CARDIOVASCULAR_004,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_005,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_006,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_007,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_008,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_009,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_010,"[""coa.case.anatomic.intrathoracic_heart_closed""]"
CARDIOVASCULAR_011,"[""coa.case.anatomic.intrathoracic_heart_closed""]"
CARDIOVASCULAR_012,"[""coa.case.anatomic.intrathoracic_heart_closed""]"
CARDIOVASCULAR_013,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_014,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_015,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_016,"[""coa.case.anatomic.intrathoracic_heart_open_no_cpb"", ""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_017,"[""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_018,"[""coa.case.anatomic.vascular"", ""coa.case.anatomic.intra_abdominal""]"
CARDIOVASCULAR_019,"[""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_020,"[""coa.case.anatomic.neck"", ""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_021,"[""coa.case.anatomic.neck"", ""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_022,"[""coa.case.anatomic.neck"", ""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_023,"[""coa.case.anatomic.vascular"", ""coa.case.anatomic.intra_abdominal""]"
CARDIOVASCULAR_024,"[""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_025,"[""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_026,"[""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_027,"[""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_028,"[""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_029,"[""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_030,"[""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_031,"[""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_032,"[""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_033,"[""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_034,"[""coa.case.anatomic.vascular""]"
CARDIOVASCULAR_035,"[""coa.case.anatomic.intrathoracic_heart_closed""]"
CARDIOVASCULAR_036,"[""coa.case.anatomic.intrathoracic_heart_closed""]"
CARDIOVASCULAR_037,"[""coa.case.anatomic.intrathoracic_heart_closed""]"
CARDIOVASCULAR_038,"[""coa.case.anatomic.intrathoracic_heart_closed""]"
CARDIOVASCULAR_039,"[""coa.case.anatomic.intrathoracic_heart_closed""]"
CARDIOVASCULAR_040,"[""coa.case.anatomic.intrathoracic_heart_closed""]"
CARDIOVASCULAR_041,"[""coa.case.anatomic.intrathoracic_heart_closed""]"
CARDIOVASCULAR_042,"[""coa.case.anatomic.intrathoracic_heart_closed""]"
CARDIOVASCULAR_043,"[""coa.case.anatomic.intrathoracic_heart_closed""]"
CARDIOVASCULAR_044,"[""coa.case.anatomic.intrathoracic_heart_closed""]"
CARDIOVASCULAR_045,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_046,"[""coa.case.anatomic.intrathoracic_other""]"
CARDIOVASCULAR_047,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_048,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
