pdf_procedure_id,primary_procedure_id,default_modifiers,mapping_confidence,needs_review
tosp_sa836s,pap_skin_and_subcutaneous_tissue_arteiovenous_malformation_hemangioma_lymphangioma_e,[],high,false
tosp_sa837s,pap_skin_and_subcutaneous_tissue_arteriovenous_malformation_hemangioma_lymphangioma,[],high,false
tosp_sa838s,pap_skin_and_subcutaneous_tissue_arteriovenous_malformation_hemangioma_lymphangioma,[],high,false
tosp_sa839s,pap_skin_and_subcutaneous_tissue_arteriovenous_malformation_hemangioma_lymphangioma,[],high,false
tosp_sa840s,pap_skin_and_subcutaneous_tissue_hematoma_abscess_cellulitis_similar_lesion_3cm_sauc,[],high,false
tosp_sa841s,pap_skin_and_subcutaneous_tissue_hematoma_carbuncle_cellulitis_similar_lesion_3cm_sa,[],low,true
tosp_sa842s,pap_skin_and_subcutaneous_tissue_lacerations_lacerations_repair_toilet_suture,[],low,true
tosp_sa843s,pap_skin_and_subcutaneous_tissue_laceration_of_less_than_7cm_repair,[],high,false
tosp_sa844s,pap_skin_and_subcutaneous_tissue_laceration_of_more_than_7cm_repair,[],high,false
tosp_sa845s,pap_skin_and_subcutaneous_tissue_neurofibromatosis_of_face_and_neck_excision,[],high,false
tosp_sa846s,pap_skin_and_subcutaneous_tissue_neurofibromatosis_of_face_and_neck_excision,[],high,false
tosp_sa847s,pap_skin_and_subcutaneous_tissue_neurofibromatosis_of_face_and_neck_excision,[],high,false
tosp_sa848s,pap_skin_and_subcutaneous_tissue_neurofibromatosis_of_face_and_neck_excision,[],high,false
tosp_sa849s,pap_skin_subcutaneous_pre_septal_peri_orbital_dermoid_lesion_excision,[],high,false
tosp_sa850s,pap_skin_and_subcutaneous_tissue_sinus_excision,"[""biopsy""]",med,false
tosp_sa851s,pap_skin_and_subcutaneous_tissue_sinus_excision,"[""biopsy""]",med,false
tosp_sa853s,pap_skin_and_subcutaneous_tissue_debridement_confined_to_skin_subcutaneous_fat_or_fa,[],high,false
tosp_sa854s,pap_skin_and_subcutaneous_tissue_wound_secondary_suture,[],high,false
tosp_sa855s,pap_skin_and_subcutaneous_tissue_wound_secondary_suture,[],high,false
tosp_sa856s,pap_skin_angioma_cauterisation_injection,[],high,false
tosp_sa857s,pap_skin_burns_excision,[],high,false
tosp_sa858s,pap_skin_burns_dressing,[],high,false
tosp_sa859s,pap_skin_burns_excision,[],high,false
tosp_sa860s,pap_skin_burns_dressing,[],high,false
tosp_sa861s,pap_skin_burns_excision,[],high,false
tosp_sa862s,pap_skin_burns_excision,[],high,false
tosp_sa863s,pap_skin_keratoses_warts_tags_similar_lesions_excision,[],high,false
tosp_sa864s,pap_skin_keratoses_warts_tags_similar_lesions_excision,[],high,false
tosp_sa865s,pap_skin_keratoses_warts_tags_similar_lesions_excision_3,[],high,false
tosp_sa866s,pap_skin_plantar_wart_excision_or_vaporisation_by_laser,[],high,false
tosp_sa867s,pap_skin_plantar_warts_excision,[],high,false
tosp_sa868s,pap_skin_scar_revision_skin_scar_various_lesion,"[""unilateral""]",high,false
tosp_sa869s,pap_removal_of_tissue_expander_prosthesis_including_breast_implants,[],low,true
tosp_sa870s,pap_skin_scar_revision,[],low,true
tosp_sa871s,pap_skin_scars_lesions_removal_of_tissue_expander_prosthesis_including_breast,"[""bilateral""]",high,false
tosp_sa872s,pap_skin_superficial_nasal_dermoid_excision_implants_and_revision_excision_of_scars,"[""unilateral""]",high,false
tosp_sa873s,pap_skin_burns_scar_tattoo_laser_excision,[],high,false
tosp_sa874s,pap_skin_burns_scar_tattoo_laser_excision,[],high,false
tosp_sa875s,pap_skin_burns_scar_tattoo_laser_excision,[],high,false
tosp_sa876s,pap_skin_burns_scar_tattoo_repeat_laser_excision,[],high,false
tosp_sa877s,pap_skin_of_face_excision,"[""biopsy""]",med,false
tosp_sa878s,pap_skin_abrasive_therapy,[],high,false
tosp_sa879s,pap_skin_abrasive_therapy,[],high,false
tosp_sa880s,pap_skin_insertion_of_tissue_expander,[],high,false
tosp_sa881s,pap_skin_insertion_of_tissue_expander,[],high,false
tosp_sa882s,pap_skin_trial_dermabrasion,[],high,false
tosp_sa883s,pap_skin_wound_inspection_dressing_removal_of_sutures,[],high,false
tosp_sa884s,pap_skin_of_face_excision_punch_shave,"[""biopsy""]",med,false
